Linea,Grupo,Tipo,Codigo,DETALLE,CostoTxt
Sin Linea,Espuma con Film,Espuma 1.5 mm,01507CA,Espuma-1.5mm-Aluminizado-C/Film,7.87
Sin Linea,Espuma con Film, ,01507CAZ,Espuma-1.5mm-Blanco-Alum.C/film NO CONFORME ,0
Sin Linea,Espuma con Film,Espuma 1.5 mm,01507CS,Manta-1.5mm-Aluminizado-Const-,0
Sin Linea,Espuma con Film, ,01507CZ,Espuma-1.5mm-Blanco-Aluminizado NO CONFORME ,0
Sin Linea,Espuma con Film,Espuma 1.5 mm,01507D,Espuma-1.5mm-Blanco-Alum.Oro C/Film,0
Sin Linea,Espuma con Film, ,01507DZ,Espuma-1.5mm-Blanco-Alum.Dorado c/film NO CONFORME ,0
Sin Linea,Espuma con Film,Espuma 1.5 mm,01507E,Espuma-1.5mm-Blanco-C/Doble Film,5.4
Sin Linea,Espuma con Film,Espuma 1.5 mm,01507FA,Espuma-1.5mm-PPAluminizado Plata,2.29
Sin Linea,Espuma con Film, ,01507FAZ,Espuma-1.5mm-Blanco-PP Aluminizado NO CONFORME ,0
Sin Linea,Espuma con Film,Espuma 1.5 mm,01507FB,Espuma-1.5mm-Blanco-PPAluminizado Dorado,2.1
Sin Linea,Espuma con Film,Espuma 1.5 mm,01507FC,Espuma-1.5mm-Blanco-PP Aluminizado Azul-50mx1m,0.99
Sin Linea,Espuma con Film, ,01507FD,Espuma-1.5mm-Blanco-PP Aluminizado Cobre-50mx1m,0.93
Sin Linea,Espuma con Film, ,01507FE,Espuma-1.5mm-Blanco-PP Aluminizado Fucsia-50mx1m,0.7
Sin Linea,Espuma con Film,Espuma 1.5 mm,01507FF,Espuma-1.5mm-Blanco-PP Aluminizado Negro-50mx1m,0
Sin Linea,Espuma con Film,Espuma 1.5 mm,01507FG,Espuma-1.5mm-Blanco-PP Aluminizado Verde-50mx1m,1.04
Sin Linea,Espuma con Film,Espuma 1.5 mm,01507FH,Espuma-1.5mm-Blanco-PP Aluminizado Violeta-50mx1m,1.01
Sin Linea,Espuma con Film,Espuma 1.5 mm,01507FI,Espuma-1.5mm-Blanco-PP Aluminizado Rojo-50mx1m,1.38
Sin Linea,Espuma con Film,Espuma 1.5 mm,01507IA,Espuma-1.5mm-con film impreso DI0019-300m x 0.75m+0.75m - MP0222,2.24
Sin Linea,Espuma con Film,Espuma 1.5 mm,01507VA,1.5 mm D/Film - Bco + Termibag - Corte 0.57 + 0.57,2.53
Sin Linea,Espuma con Film,Espuma 1.5 mm,01507VB,1.5 mm D/Film - Bco + Termibag - Corte 0.75 + 0.40,2.45
Sin Linea,Espuma con Film,Espuma 1.5 mm,01507VC,1.5 mm D/Film - Bco + Bco - Corte 0.57 + 0.57,2.13
Sin Linea,Espuma con Film,Espuma 1.5 mm,01507VD,1.5 mm D/Film - Bco + Bco - Corte 0.75 + 0.40,2.44
Sin Linea,Espuma con Film,Espuma 1.5 mm,01507VE,1.5 mm D/Film - Bco + 20 de Junio- Corte 0.57 + 0.57,0.99
Sin Linea,Espuma con Film,Espuma 1.5 mm,01507VF,1.5 mm D/Film - Bco + 20 de Junio- Corte 0.75 + 0.40,2.49
