Linea,Grupo,Tipo,Codigo,DETALLE,Costo	
Sin Linea,Espuma con Film, ,01507AAZ,Espuma-1.5mm-Blanco-C/Film-NO CONFORME,	
Sin Linea,Espuma con Film, ,01507AZ,Espuma-1.5mm-Blanco-C/Film-NO CONFORME,0	
Sin Linea,Espuma con Film,Espuma 1.5 mm,01507B,Espuma-1.5mm-Blanco-C/Film Cli.,2,58645232893929	
Sin Linea,Espuma con Film, ,01507BA,Espuma-1.5mm-Blanco-C/Film Cli.,0,48	
Sin Linea,Espuma con Film, ,01507BAZ,Espuma-1.5mm-Blanco-C/Film Cli.-NO CONFORME,	
Sin Linea,Espuma con Film,Espuma 1.5 mm,01507BB,Espuma-1.5mm-Blanco-C/Doble Film Cli.,2,59903341963211	
Sin Linea,Espuma con Film, ,01507BBZ,Espuma-1.5mm-Blanco- Con Film Cli. NO CONFORME ,0	
Sin Linea,Espuma con Film, ,01507BZ,Espuma-1.5mm-Blanco- Con Film Cli. NO CONFORME ,0	
Sin Linea,Espuma con Film,Espuma 1.5 mm,01507C,Espuma-1.5mm-Aluminizado,0,51	
Sin Linea,Espuma con Film,Espuma 1.5 mm,01507CA,Espuma-1.5mm-Aluminizado-C/Film,7,87096264775472	
Sin Linea,Espuma con Film, ,01507CAZ,Espuma-1.5mm-Blanco-Alum.C/film NO CONFORME ,0	
Sin Linea,Espuma con Film,Espuma 1.5 mm,01507CS,Manta-1.5mm-Aluminizado-Const-,0	
Sin Linea,Espuma con Film, ,01507CZ,Espuma-1.5mm-Blanco-Aluminizado NO CONFORME ,	
Sin Linea,Espuma con Film,Espuma 1.5 mm,01507D,Espuma-1.5mm-Blanco-Alum.Oro C/Film,	
Sin Linea,Espuma con Film, ,01507DZ,Espuma-1.5mm-Blanco-Alum.Dorado c/film NO CONFORME ,	
Sin Linea,Espuma con Film,Espuma 1.5 mm,01507E,Espuma-1.5mm-Blanco-C/Doble Film,4,79309819121633	
Sin Linea,Espuma con Film,Espuma 1.5 mm,01507FA,Espuma-1.5mm-PPAluminizado Plata,2,29114262743779	
Sin Linea,Espuma con Film, ,01507FAZ,Espuma-1.5mm-Blanco-PP Aluminizado NO CONFORME ,0	
Sin Linea,Espuma con Film,Espuma 1.5 mm,01507FB,Espuma-1.5mm-Blanco-PPAluminizado Dorado,2,10274147098007	
Sin Linea,Espuma con Film,Espuma 1.5 mm,01507FC,Espuma-1.5mm-Blanco-PP Aluminizado Azul-50mx1m,0,993851438669584	
Sin Linea,Espuma con Film, ,01507FD,Espuma-1.5mm-Blanco-PP Aluminizado Cobre-50mx1m,0,933800317694271	
Sin Linea,Espuma con Film, ,01507FE,Espuma-1.5mm-Blanco-PP Aluminizado Fucsia-50mx1m,0,7	
Sin Linea,Espuma con Film,Espuma 1.5 mm,01507FF,Espuma-1.5mm-Blanco-PP Aluminizado Negro-50mx1m,	
